time_seconds,cpu_util,gpu0_power,gpu0_util,gpu0_temp,total_power
2.384185791015625e-06,7.5,41.22,0.0,75.0,41.22
11.578730583190918,10.7,43.77,23.0,77.0,43.77
11.94705319404602,7.0,45.69,23.0,77.0,45.69
12.306870460510254,6.1,46.61,32.0,77.0,46.61
12.667458534240723,5.2,47.51,32.0,77.0,47.51
13.022216320037842,5.6,47.56,28.0,77.0,47.56
13.37996506690979,5.3,47.63,33.0,77.0,47.63
13.744154214859009,7.6,47.64,25.0,77.0,47.64
14.122925758361816,10.9,47.45,29.0,77.0,47.45
14.492395877838135,6.1,47.33,33.0,77.0,47.33
14.848226547241211,5.5,47.45,22.0,77.0,47.45
15.211101055145264,5.5,47.51,31.0,77.0,47.51
15.56920576095581,5.6,47.64,33.0,77.0,47.64
15.92962121963501,5.3,47.6,26.0,77.0,47.6
16.287412881851196,5.6,47.68,34.0,77.0,47.68
16.6476731300354,5.4,47.52,22.0,77.0,47.52
17.00619888305664,5.7,47.66,32.0,77.0,47.66
17.3720760345459,5.6,47.13,33.0,77.0,47.13
17.725569248199463,5.2,46.85,27.0,77.0,46.85
18.090739011764526,5.4,46.41,33.0,77.0,46.41
18.44483184814453,5.7,46.43,22.0,77.0,46.43
18.8077175617218,5.4,46.8,31.0,77.0,46.8
19.16440749168396,5.6,47.27,33.0,77.0,47.27
19.521870851516724,5.8,47.55,28.0,77.0,47.55
19.877638339996338,5.5,47.72,34.0,77.0,47.72
20.246639728546143,5.4,47.53,23.0,77.0,47.53
20.604931831359863,5.5,47.64,32.0,78.0,47.64
20.96528196334839,5.4,47.59,33.0,77.0,47.59
21.329524278640747,5.5,47.61,25.0,77.0,47.61
21.687143087387085,5.5,47.62,33.0,77.0,47.62
22.045662879943848,5.3,47.47,22.0,77.0,47.47
22.39958930015564,5.5,47.61,33.0,78.0,47.61
22.75943088531494,5.6,47.58,31.0,77.0,47.58
23.115266799926758,5.5,47.62,29.0,78.0,47.62
23.48175358772278,5.6,47.57,33.0,78.0,47.57
23.844053745269775,5.7,47.45,23.0,77.0,47.45
24.20639991760254,5.5,47.53,31.0,78.0,47.53
24.570024728775024,5.8,47.51,33.0,78.0,47.51
24.930123805999756,5.7,47.21,25.0,77.0,47.21
25.2873055934906,5.3,46.88,33.0,77.0,46.88
25.64210557937622,5.4,46.65,23.0,78.0,46.65
25.999823093414307,5.3,46.65,33.0,78.0,46.65
26.35645079612732,5.4,47.0,31.0,78.0,47.0
26.70353412628174,5.2,47.36,32.0,78.0,47.36
27.064987182617188,5.7,47.77,33.0,78.0,47.77
27.425076723098755,5.7,47.69,26.0,78.0,47.69
27.791699647903442,5.3,47.61,33.0,78.0,47.61
28.151315450668335,5.4,47.53,29.0,77.0,47.53
28.515304565429688,5.5,47.63,29.0,78.0,47.63
28.881214380264282,5.6,47.6,33.0,78.0,47.6
29.237136363983154,5.5,47.63,24.0,78.0,47.63
29.601454257965088,5.5,47.6,32.0,78.0,47.6
29.956246614456177,5.4,47.65,31.0,78.0,47.65
30.319709062576294,5.5,47.62,28.0,78.0,47.62
30.675278902053833,5.5,47.71,33.0,78.0,47.71
31.03573966026306,5.3,47.66,24.0,78.0,47.66
31.392899751663208,5.5,47.69,34.0,78.0,47.69
31.758067846298218,5.4,47.62,31.0,78.0,47.62
32.11355900764465,5.4,47.57,29.0,78.0,47.57
32.4758505821228,5.7,47.04,33.0,78.0,47.04
32.833006858825684,5.5,46.76,24.0,78.0,46.76
33.19325089454651,5.7,46.42,33.0,78.0,46.42
33.503873348236084,5.8,46.67,27.0,78.0,46.67
33.82264590263367,5.7,47.07,21.0,78.0,47.07
34.18814563751221,5.2,47.78,32.0,78.0,47.78
34.55450463294983,5.6,47.98,30.0,78.0,47.98
34.92052960395813,5.6,47.75,27.0,78.0,47.75
35.29020619392395,5.4,47.57,32.0,78.0,47.57
35.6566903591156,5.6,47.59,30.0,78.0,47.59
35.96926712989807,5.3,47.87,43.0,78.0,47.87
36.27874565124512,5.2,48.21,39.0,78.0,48.21
36.586421728134155,5.5,48.24,35.0,78.0,48.24
36.90448546409607,5.5,48.29,28.0,78.0,48.29
37.305633544921875,16.0,48.26,30.0,78.0,48.26
37.687495470047,10.8,47.63,33.0,78.0,47.63
38.05082082748413,5.7,47.51,30.0,78.0,47.51
38.4141845703125,5.2,47.38,28.0,78.0,47.38
38.77047300338745,5.5,47.67,33.0,78.0,47.67
39.131728649139404,5.5,47.71,25.0,78.0,47.71
39.49167323112488,5.3,47.78,34.0,78.0,47.78
39.84089660644531,11.4,47.4,24.0,78.0,47.4
40.20600128173828,5.5,47.14,30.0,78.0,47.14
40.56218767166138,5.5,46.77,33.0,78.0,46.77
40.918323278427124,5.4,46.61,27.0,78.0,46.61
41.28379726409912,5.3,46.98,33.0,78.0,46.98
41.30535960197449,2.4,46.98,33.0,78.0,46.98
